PID,Province,DID,District,Crop,Year,(Area in '000' Hectares),"(Production in ""000""Tonnes)"
1,Balochistan,125,Awaran,Wheat,1984-85,0,0
1,Balochistan,113,Barkhan,Wheat,1984-85,0,0
1,Balochistan,119,Bolan,Wheat,1984-85,0,0
1,Balochistan,15,Chagai,Wheat,1984-85,3.2,3.4
1,Balochistan,19,DERA BUGTI,Wheat,1984-85,0,0
1,Balochistan,129,Gwadar,Wheat,1984-85,0.5,0.3
1,Balochistan,117,JAFARABAD,Wheat,1984-85,0,0
1,Balochistan,120,JHAL MAGSI,Wheat,1984-85,0,0
1,Balochistan,128,KACHHI,Wheat,1984-85,14,16.8
1,Balochistan,123,Kalat,Wheat,1984-85,19,27.4
1,Balochistan,126,Kharan,Wheat,1984-85,3.5,2.6
1,Balochistan,124,Khuzdar,Wheat,1984-85,52.8,65.2
1,Balochistan,13,KILLA ABDULLAH,Wheat,1984-85,0,0
1,Balochistan,114,KILLA SAIFULLAH ,Wheat,1984-85,0,0
1,Balochistan,18,Kohlu,Wheat,1984-85,17,14.3
1,Balochistan,121,Lasbela,Wheat,1984-85,0.5,1
1,Balochistan,111,Loralai,Wheat,1984-85,24,29.6
1,Balochistan,122,Mastung,Wheat,1984-85,0,0
1,Balochistan,112,MUSA KHEL,Wheat,1984-85,0,0
1,Balochistan,118,NASEERABAD,Wheat,1984-85,101.6,213.6
1,Balochistan,130,PANJGUR,Wheat,1984-85,0.7,0.6
1,Balochistan,12,Pishin,Wheat,1984-85,19.2,28.5
1,Balochistan,11,Quetta,Wheat,1984-85,1.7,3.1
1,Balochistan,16,Sibi,Wheat,1984-85,11.7,20.1
1,Balochistan,134,Tomboo,Wheat,1984-85,0,0
1,Balochistan,135,Turbat,Wheat,1984-85,0.6,0.7
1,Balochistan,115,Zhob,Wheat,1984-85,7.4,9.9
1,Balochistan,110,Ziarat,Wheat,1984-85,0,0
1,Balochistan,125,Awaran,Wheat,1985-86,0,0
1,Balochistan,113,Barkhan,Wheat,1985-86,0,0
1,Balochistan,119,Bolan,Wheat,1985-86,0,0
1,Balochistan,15,Chagai,Wheat,1985-86,4.5,3.9
1,Balochistan,19,DERA BUGTI,Wheat,1985-86,0,0
1,Balochistan,129,Gwadar,Wheat,1985-86,0.5,0.3
1,Balochistan,117,JAFARABAD,Wheat,1985-86,0,0
1,Balochistan,120,JHAL MAGSI,Wheat,1985-86,0,0
1,Balochistan,128,KACHHI,Wheat,1985-86,11.7,15.5
1,Balochistan,123,Kalat,Wheat,1985-86,15.6,21.2
1,Balochistan,126,Kharan,Wheat,1985-86,4.5,2.8
1,Balochistan,124,Khuzdar,Wheat,1985-86,39.8,46
1,Balochistan,13,KILLA ABDULLAH,Wheat,1985-86,0,0
1,Balochistan,114,KILLA SAIFULLAH ,Wheat,1985-86,0,0
1,Balochistan,18,Kohlu,Wheat,1985-86,13.6,11.9
1,Balochistan,121,Lasbela,Wheat,1985-86,0.9,1.6
1,Balochistan,111,Loralai,Wheat,1985-86,13.5,18.2
1,Balochistan,122,Mastung,Wheat,1985-86,0,0
1,Balochistan,112,MUSA KHEL,Wheat,1985-86,0,0
1,Balochistan,118,NASEERABAD,Wheat,1985-86,106.4,232.2
1,Balochistan,130,PANJGUR,Wheat,1985-86,0.5,0.4
1,Balochistan,12,Pishin,Wheat,1985-86,15.2,25.4
1,Balochistan,11,Quetta,Wheat,1985-86,1.7,3.3
1,Balochistan,16,Sibi,Wheat,1985-86,13,23.1
1,Balochistan,134,Tomboo,Wheat,1985-86,0,0
1,Balochistan,135,Turbat,Wheat,1985-86,0.1,0.2
1,Balochistan,115,Zhob,Wheat,1985-86,6.1,6.7
1,Balochistan,110,Ziarat,Wheat,1985-86,0,0
1,Balochistan,125,Awaran,Wheat,1986-87,0,0
1,Balochistan,113,Barkhan,Wheat,1986-87,0,0
1,Balochistan,119,Bolan,Wheat,1986-87,0,0
1,Balochistan,15,Chagai,Wheat,1986-87,3.9,4.3
1,Balochistan,19,DERA BUGTI,Wheat,1986-87,0,0
1,Balochistan,129,Gwadar,Wheat,1986-87,0.4,0.4
1,Balochistan,117,JAFARABAD,Wheat,1986-87,0,0
1,Balochistan,120,JHAL MAGSI,Wheat,1986-87,0,0
1,Balochistan,128,KACHHI,Wheat,1986-87,13,17.2
1,Balochistan,123,Kalat,Wheat,1986-87,24.1,32.9
1,Balochistan,126,Kharan,Wheat,1986-87,3.7,2.4
1,Balochistan,124,Khuzdar,Wheat,1986-87,45.5,55.9
1,Balochistan,13,KILLA ABDULLAH,Wheat,1986-87,0,0
1,Balochistan,114,KILLA SAIFULLAH ,Wheat,1986-87,0,0
1,Balochistan,18,Kohlu,Wheat,1986-87,12,12.3
1,Balochistan,121,Lasbela,Wheat,1986-87,0.9,1.7
1,Balochistan,111,Loralai,Wheat,1986-87,21.4,26.2
1,Balochistan,122,Mastung,Wheat,1986-87,0,0
1,Balochistan,112,MUSA KHEL,Wheat,1986-87,0,0
1,Balochistan,118,NASEERABAD,Wheat,1986-87,0,0
1,Balochistan,130,PANJGUR,Wheat,1986-87,2.5,2.1
1,Balochistan,12,Pishin,Wheat,1986-87,21.5,39.7
1,Balochistan,11,Quetta,Wheat,1986-87,2,3.7
1,Balochistan,16,Sibi,Wheat,1986-87,13.3,23.2
1,Balochistan,134,Tomboo,Wheat,1986-87,120,276
1,Balochistan,135,Turbat,Wheat,1986-87,0.3,0.4
1,Balochistan,115,Zhob,Wheat,1986-87,9,12
1,Balochistan,110,Ziarat,Wheat,1986-87,0.2,0.3
1,Balochistan,125,Awaran,Wheat,1987-88,0,0
1,Balochistan,113,Barkhan,Wheat,1987-88,0,0
1,Balochistan,119,Bolan,Wheat,1987-88,0,0
1,Balochistan,15,Chagai,Wheat,1987-88,1.1,2.2
1,Balochistan,19,DERA BUGTI,Wheat,1987-88,0,0
1,Balochistan,129,Gwadar,Wheat,1987-88,0.2,0.2
1,Balochistan,117,JAFARABAD,Wheat,1987-88,56.4,132.5
1,Balochistan,120,JHAL MAGSI,Wheat,1987-88,0,0
1,Balochistan,128,KACHHI,Wheat,1987-88,9.7,18.6
1,Balochistan,123,Kalat,Wheat,1987-88,12,20.6
1,Balochistan,126,Kharan,Wheat,1987-88,1.3,1
1,Balochistan,124,Khuzdar,Wheat,1987-88,14.3,26.7
1,Balochistan,13,KILLA ABDULLAH,Wheat,1987-88,0,0
1,Balochistan,114,KILLA SAIFULLAH ,Wheat,1987-88,0,0
1,Balochistan,18,Kohlu,Wheat,1987-88,3.5,6.1
1,Balochistan,121,Lasbela,Wheat,1987-88,0.8,1.6
1,Balochistan,111,Loralai,Wheat,1987-88,10.6,18.7
1,Balochistan,122,Mastung,Wheat,1987-88,0,0
1,Balochistan,112,MUSA KHEL,Wheat,1987-88,0,0
1,Balochistan,118,NASEERABAD,Wheat,1987-88,0,0
1,Balochistan,130,PANJGUR,Wheat,1987-88,1,1.1
1,Balochistan,12,Pishin,Wheat,1987-88,11,28.6
1,Balochistan,11,Quetta,Wheat,1987-88,1.3,2.7
1,Balochistan,16,Sibi,Wheat,1987-88,14,26.9
1,Balochistan,134,Tomboo,Wheat,1987-88,40,94.8
1,Balochistan,135,Turbat,Wheat,1987-88,0.4,0.7
1,Balochistan,115,Zhob,Wheat,1987-88,5.5,8.4
1,Balochistan,110,Ziarat,Wheat,1987-88,0.2,0.3
1,Balochistan,125,Awaran,Wheat,1988-89,0,0
1,Balochistan,113,Barkhan,Wheat,1988-89,0,0
1,Balochistan,119,Bolan,Wheat,1988-89,0,0
1,Balochistan,15,Chagai,Wheat,1988-89,1.9,3.7
1,Balochistan,19,DERA BUGTI,Wheat,1988-89,0.4,0.6
1,Balochistan,129,Gwadar,Wheat,1988-89,0,0
1,Balochistan,117,JAFARABAD,Wheat,1988-89,72,165.6
1,Balochistan,120,JHAL MAGSI,Wheat,1988-89,0,0
1,Balochistan,128,KACHHI,Wheat,1988-89,14.6,27.6
1,Balochistan,123,Kalat,Wheat,1988-89,20,28.4
1,Balochistan,126,Kharan,Wheat,1988-89,1.9,1.5
1,Balochistan,124,Khuzdar,Wheat,1988-89,41.9,56.4
1,Balochistan,13,KILLA ABDULLAH,Wheat,1988-89,0,0
1,Balochistan,114,KILLA SAIFULLAH ,Wheat,1988-89,0,0
1,Balochistan,18,Kohlu,Wheat,1988-89,9,10.5
1,Balochistan,121,Lasbela,Wheat,1988-89,1,2
1,Balochistan,111,Loralai,Wheat,1988-89,21.5,28.5
1,Balochistan,122,Mastung,Wheat,1988-89,0,0
1,Balochistan,112,MUSA KHEL,Wheat,1988-89,0,0
1,Balochistan,118,NASEERABAD,Wheat,1988-89,0,0
1,Balochistan,130,PANJGUR,Wheat,1988-89,1.1,0.7
1,Balochistan,12,Pishin,Wheat,1988-89,23.6,46.6
1,Balochistan,11,Quetta,Wheat,1988-89,2.1,4
1,Balochistan,16,Sibi,Wheat,1988-89,13.2,25.3
1,Balochistan,134,Tomboo,Wheat,1988-89,52.1,125
1,Balochistan,135,Turbat,Wheat,1988-89,0.5,0.9
1,Balochistan,115,Zhob,Wheat,1988-89,7,10.6
1,Balochistan,110,Ziarat,Wheat,1988-89,0,0
1,Balochistan,125,Awaran,Wheat,1989-90,0,0
1,Balochistan,113,Barkhan,Wheat,1989-90,0,0
1,Balochistan,119,Bolan,Wheat,1989-90,0,0
1,Balochistan,15,Chagai,Wheat,1989-90,3,4.7
1,Balochistan,19,DERA BUGTI,Wheat,1989-90,0.5,0.5
1,Balochistan,129,Gwadar,Wheat,1989-90,0.1,0.1
1,Balochistan,117,JAFARABAD,Wheat,1989-90,72.1,168.1
1,Balochistan,120,JHAL MAGSI,Wheat,1989-90,0,0
1,Balochistan,128,KACHHI,Wheat,1989-90,16.8,29.9
1,Balochistan,123,Kalat,Wheat,1989-90,24.5,36
1,Balochistan,126,Kharan,Wheat,1989-90,3.9,3.9
1,Balochistan,124,Khuzdar,Wheat,1989-90,42.9,60
1,Balochistan,13,KILLA ABDULLAH,Wheat,1989-90,0,0
