Year,PID,Province,DID,District,Livestock,Livestock Type,Sex,Farm Type,NUMBER OF FARMS,NUMBER OF ANIMALS
1996,1,Balochistan,125,AWARAN,Horses,,,Other,,
1996,1,Balochistan,125,AWARAN,Mules,,,FARM HOUSEHOLDS,,
1996,1,Balochistan,125,AWARAN,Mules,,,NON-FARM HOUSEHOLDS,,
1996,1,Balochistan,125,AWARAN,Mules,,,Other,2,2
1996,1,Balochistan,125,AWARAN,Donkeys,,,FARM HOUSEHOLDS,1253,1947
1996,1,Balochistan,125,AWARAN,Donkeys,,,NON-FARM HOUSEHOLDS,1051,1654
1996,1,Balochistan,125,AWARAN,Donkeys,,,Other,102,138
1996,1,Balochistan,12,Pishin,Cattle,BULLS AND BULLOCKS 3 YEARS AND OVER,M,FARM HOUSEHOLDS,1234,2057
1996,1,Balochistan,113,BARKHAN,Cattle,BULLS AND BULLOCKS 3 YEARS AND OVER,M,NON-FARM HOUSEHOLDS,301,363
1996,1,Balochistan,113,BARKHAN,Cattle,BULLS AND BULLOCKS 3 YEARS AND OVER,M,Other,,
1996,1,Balochistan,113,BARKHAN,Cattle,COWS 3 YEARS AND OVER,F,FARM HOUSEHOLDS,3595,10679
1996,1,Balochistan,113,BARKHAN,Cattle,COWS 3 YEARS AND OVER,F,NON-FARM HOUSEHOLDS,477,2326
1996,1,Balochistan,113,BARKHAN,Cattle,COWS 3 YEARS AND OVER,F,Other,,
1996,1,Balochistan,113,BARKHAN,Cattle,YOUNGSTOCK UNDER 3 YEARS,,FARM HOUSEHOLDS,3196,5920
1996,1,Balochistan,113,BARKHAN,Cattle,YOUNGSTOCK UNDER 3 YEARS,,NON-FARM HOUSEHOLDS,468,1559
1996,1,Balochistan,113,BARKHAN,Cattle,YOUNGSTOCK UNDER 3 YEARS,,Other,,
1996,1,Balochistan,113,BARKHAN,Buffaloes,MALE BUFFALOES 3 YEARS AND OVER,M,FARM HOUSEHOLDS,394,394
1996,1,Balochistan,113,BARKHAN,Buffaloes,MALE BUFFALOES 3 YEARS AND OVER,M,NON-FARM HOUSEHOLDS,94,94
1996,1,Balochistan,113,BARKHAN,Buffaloes,MALE BUFFALOES 3 YEARS AND OVER,M,Other,,
1996,1,Balochistan,113,BARKHAN,Buffaloes,FEMALE BUFFALOES 3 YEARS AND OVER,F,FARM HOUSEHOLDS,84,689
1996,1,Balochistan,113,BARKHAN,Buffaloes,FEMALE BUFFALOES 3 YEARS AND OVER,F,NON-FARM HOUSEHOLDS,44,175
1996,1,Balochistan,113,BARKHAN,Buffaloes,FEMALE BUFFALOES 3 YEARS AND OVER,F,Other,,
1996,1,Balochistan,113,BARKHAN,Buffaloes,YOUNGSTOCK UNDER 3 YEARS,,FARM HOUSEHOLDS,71,169
1996,1,Balochistan,113,BARKHAN,Buffaloes,YOUNGSTOCK UNDER 3 YEARS,,NON-FARM HOUSEHOLDS,53,105
1996,1,Balochistan,113,BARKHAN,Buffaloes,YOUNGSTOCK UNDER 3 YEARS,,Other,,
1996,1,Balochistan,113,BARKHAN,Goats,MALE GOATS 1 YEAR AND OVER,M,FARM HOUSEHOLDS,2603,13785
1996,1,Balochistan,113,BARKHAN,Goats,MALE GOATS 1 YEAR AND OVER,M,NON-FARM HOUSEHOLDS,549,4762
1996,1,Balochistan,113,BARKHAN,Goats,MALE GOATS 1 YEAR AND OVER,M,Other,12,13
1996,1,Balochistan,113,BARKHAN,Goats,FEMALE GOATS 1 YEAR AND OVER,F,FARM HOUSEHOLDS,4362,26853
1996,1,Balochistan,113,BARKHAN,Goats,FEMALE GOATS 1 YEAR AND OVER,F,NON-FARM HOUSEHOLDS,702,10089
1996,1,Balochistan,113,BARKHAN,Goats,FEMALE GOATS 1 YEAR AND OVER,F,Other,55,85
1996,1,Balochistan,113,BARKHAN,Goats,YOUNGSTOCK UNDER 1 YEAR,,FARM HOUSEHOLDS,3800,13024
1996,1,Balochistan,113,BARKHAN,Goats,YOUNGSTOCK UNDER 1 YEAR,,NON-FARM HOUSEHOLDS,649,8111
1996,1,Balochistan,113,BARKHAN,Goats,YOUNGSTOCK UNDER 1 YEAR,,Other,44,44
